category,count,pledged,backers_count
Home,218,59533723.3,32575
Tech & Innovation,190,39845540.0,21720
Productivity,135,31162779.1,18311
Travel & Outdoors,249,30649271.9,37218
Health & Fitness,437,23911327.9,24507
Phones & Accessories,181,22792421.4,20891
Fashion & Wearables,326,18053444.8,22152
Transportation,77,16580970.8,9205
Film,3566,16385541.000000002,137367
Camera Gear,39,14043647.9,5120
Audio,59,7783100.8,8115
Energy & Green Tech,66,6628425.700000001,9930
Food & Beverages,198,6018671.7,13653
Writing & Publishing,431,5665920.899999999,25593
Tabletop Games,71,4250599.7,12200
Music,1101,3233114.7,47112
Video Games,136,3225735.6,11069
Music,1,2343703.0,1223
Community,1,2343703.0,1223
Community shares,1,2343703.0,1223
